                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1704,                0.62567,                0.98531,                0.86887,                0.61681,                0.71367,                0.41905,                 1.1909,                0.61646,                0.98579,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.1676,                0.62355,                0.98341,                0.88124,                0.61172,                0.71275,                0.41959,                   1.19,                0.61528,                0.98547,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1647,                 0.6214,                 0.9826,                0.88169,                0.61204,                0.71361,                0.42013,                 1.1892,                0.61439,                0.98517,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1623,                0.61963,                0.98282,                0.88405,                0.61227,                0.71465,                0.42121,                 1.1884,                0.61363,                0.98502,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.1584,                0.61614,                0.98061,                0.88499,                0.61261,                 0.7151,                0.42098,                 1.1874,                0.61292,                0.98469,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.1568,                0.61639,                0.98044,                0.88536,                0.61304,                0.72472,                0.42801,                 1.1865,                0.61229,                0.98443,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.1532,                0.61211,                 0.9774,                 0.8856,                0.61301,                0.72573,                0.42953,                 1.1854,                0.61105,                0.98408,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1481,                0.61223,                0.97799,                0.88083,                0.61606,                0.72629,                0.42978,                 1.1845,                0.61051,                 0.9838,               0.000208,               0.000208,               0.000208
                     82,                 1.1478,                0.60791,                0.97789,                0.88216,                0.61708,                0.72653,                0.43056,                 1.1835,                0.60996,                0.98352,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1445,                0.60621,                0.97504,                0.88161,                0.61728,                0.72611,                 0.4303,                 1.1826,                0.60898,                0.98318,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1439,                0.60431,                0.97602,                0.88173,                0.61811,                0.72714,                0.43089,                 1.1818,                0.60868,                0.98292,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.1381,                0.60123,                0.97464,                0.87866,                0.62023,                0.72742,                0.43161,                 1.1809,                0.60759,                0.98253,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.1336,                0.59839,                0.97309,                0.88029,                0.61994,                0.72899,                0.43183,                 1.1799,                0.60683,                0.98212,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.1352,                0.60007,                0.97228,                0.87882,                0.62173,                0.72968,                0.43237,                  1.179,                0.60605,                0.98182,              0.0001486,              0.0001486,              0.0001486
                     88,                  1.129,                0.59453,                0.97099,                0.87948,                0.62253,                 0.7298,                0.43288,                 1.1781,                0.60503,                0.98155,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.1268,                0.59323,                0.97032,                0.87794,                0.62286,                0.73041,                0.43283,                 1.1771,                0.60431,                0.98115,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.1219,                0.59131,                0.96761,                0.87649,                0.62329,                0.73025,                0.43333,                 1.1759,                0.60327,                 0.9807,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.1252,                0.59194,                0.96858,                0.87603,                0.62396,                0.73109,                0.43422,                 1.1747,                 0.6023,                0.98022,               0.000109,               0.000109,               0.000109
                     92,                 1.1189,                0.58719,                0.96739,                0.87362,                0.62574,                0.73167,                0.43476,                 1.1737,                0.60167,                0.97985,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.1186,                0.58771,                0.96669,                0.87377,                0.62617,                 0.7324,                0.43523,                 1.1727,                0.60092,                0.97942,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.1158,                0.58346,                 0.9661,                0.87376,                0.62596,                0.73288,                0.43555,                 1.1713,                0.60036,                0.97893,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.1125,                0.58343,                0.96503,                0.87102,                0.62718,                0.73304,                0.43601,                 1.1702,                0.59963,                0.97848,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.1097,                0.58039,                0.96339,                0.84894,                0.64438,                0.73396,                0.43692,                 1.1693,                0.59887,                 0.9781,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.1073,                0.57923,                0.96359,                0.85222,                0.64377,                0.73484,                0.43785,                 1.1682,                0.59822,                0.97772,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.1068,                0.57862,                0.96414,                0.85302,                0.64362,                0.73606,                0.43782,                 1.1672,                0.59752,                0.97731,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.1022,                0.57472,                0.96214,                0.85085,                0.64465,                0.73654,                0.43841,                 1.1662,                0.59666,                  0.977,               2.98e-05,               2.98e-05,               2.98e-05
